species,analysis_node,filtered_total_count,filtered_microRNA_score,filtered_no_hits,unfiltered_total_count,unfiltered_microRNA_score,filtered_out_families
Amphipyraberbera,Lepidoptera,47,70.15,"Mir-12, Mir-1993, Mir-242, Mir-3049, Mir-315, Mir-375, Mir-957",60,89.55,"Mir-1000, Mir-14, Mir-153, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-36, Mir-932, Mir-970, Mir-988, Mir-999"
Amphipyratragopoginis,Lepidoptera,48,71.64,"Mir-219, Mir-242, Mir-3049, Mir-315, Mir-999",62,92.54,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-275, Mir-2765, Mir-306, Mir-932, Mir-957, Mir-970, Mir-988"
Amphipyratragopoginis,Lepidoptera,48,71.64,"Mir-219, Mir-3049, Mir-999",64,95.52,"Mir-1000, Mir-12, Mir-14, Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-275, Mir-2765, Mir-306, Mir-315, Mir-932, Mir-957, Mir-970, Mir-988"
Amyeloistransitella,Lepidoptera,46,68.66,"Mir-12, Mir-242, Mir-3049, Mir-315, Mir-36, Mir-375, Mir-957, Mir-999",59,88.06,"Mir-1000, Mir-153, Mir-1993, Mir-219, Mir-22, Mir-275, Mir-2765, Mir-76, Mir-929, Mir-932, Mir-965, Mir-970, Mir-988"
Anabastestudineus,Clupeocephala,99,86.84,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-71, Mir-729, Mir-76, Mir-875",103,90.35,"Mir-147, Mir-281, Mir-4057, Mir-4541"
Anabastestudineus,Clupeocephala,99,86.84,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-71, Mir-729, Mir-76, Mir-875",103,90.35,"Mir-147, Mir-281, Mir-4057, Mir-4541"
Anabastestudineus,Clupeocephala,99,86.84,"Mir-1329, Mir-2001, Mir-242, Mir-252, Mir-278, Mir-315, Mir-32, Mir-71, Mir-729, Mir-76, Mir-875",103,90.35,"Mir-147, Mir-281, Mir-4057, Mir-4541"
Anablepsanableps,Clupeocephala,96,84.21,"Mir-1329, Mir-2001, Mir-242, Mir-278, Mir-281, Mir-32, Mir-4057, Mir-459, Mir-76",105,92.11,"Mir-147, Mir-315, Mir-425, Mir-4541, Mir-71, Mir-7132, Mir-728, Mir-729, Mir-875"
Anasplatyrhynchos,Neognathae,101,78.91,"Mir-150, Mir-1720, Mir-1729, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76, Mir-875",106,82.81,"Mir-1467, Mir-2184, Mir-4541, Mir-737, Mir-96"
Anasplatyrhynchos,Neognathae,100,78.12,"Mir-150, Mir-1720, Mir-1729, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-737, Mir-76, Mir-875",105,82.03,"Mir-1467, Mir-2184, Mir-2984, Mir-4541, Mir-96"
Anasplatyrhynchos,Neognathae,100,78.12,"Mir-139, Mir-150, Mir-1729, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-726, Mir-727, Mir-76, Mir-875",106,82.81,"Mir-1467, Mir-1720, Mir-2184, Mir-2984, Mir-4541, Mir-737"
Anaszonorhyncha,Neognathae,102,79.69,"Mir-1729, Mir-1781, Mir-2001, Mir-208, Mir-242, Mir-252, Mir-278, Mir-281, Mir-315, Mir-4057, Mir-459, Mir-599, Mir-71, Mir-7147, Mir-722, Mir-725, Mir-727, Mir-76, Mir-875",109,85.16,"Mir-1467, Mir-1720, Mir-2184, Mir-2984, Mir-4541, Mir-726, Mir-737"
Ancistrocerusnigricornis,Endopterygota,40,62.5,"Mir-153, Mir-193, Mir-1993, Mir-22, Mir-242, Mir-36, Mir-87, Mir-970",56,87.5,"Mir-1000, Mir-124, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-929, Mir-932, Mir-965, Mir-971, Mir-989"
Ancistrocerusnigricornis,Endopterygota,39,60.94,"Mir-153, Mir-193, Mir-1993, Mir-2001, Mir-22, Mir-242, Mir-252, Mir-36, Mir-87, Mir-929, Mir-970",53,82.81,"Mir-1000, Mir-124, Mir-14, Mir-2765, Mir-2796, Mir-29, Mir-3, Mir-3049, Mir-306, Mir-316, Mir-932, Mir-965, Mir-971, Mir-989"
Andrenadorsata,Endopterygota,46,71.88,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-306, Mir-36, Mir-970",57,89.06,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3049, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Andrenadorsata,Endopterygota,38,59.38,"Mir-153, Mir-190, Mir-1993, Mir-22, Mir-242, Mir-306, Mir-31, Mir-315, Mir-36, Mir-87, Mir-970, Mir-971, Mir-989",51,79.69,"Mir-1000, Mir-14, Mir-2001, Mir-210, Mir-2765, Mir-278, Mir-2796, Mir-3049, Mir-316, Mir-927, Mir-929, Mir-932, Mir-965"
Andrenahaemorrhoa,Endopterygota,42,65.62,"Mir-1175, Mir-124, Mir-153, Mir-1993, Mir-242, Mir-2765, Mir-306, Mir-36, Mir-750, Mir-8, Mir-970",53,82.81,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2796, Mir-3049, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Andrenahaemorrhoa,Endopterygota,46,71.88,"Mir-153, Mir-1993, Mir-242, Mir-306, Mir-36, Mir-970",58,90.62,"Mir-1000, Mir-14, Mir-2001, Mir-22, Mir-2765, Mir-2796, Mir-3049, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
Andrenahattorfiana,Endopterygota,45,70.31,"Mir-153, Mir-1993, Mir-22, Mir-242, Mir-306, Mir-36, Mir-970",57,89.06,"Mir-1000, Mir-14, Mir-2001, Mir-2765, Mir-2796, Mir-3, Mir-3049, Mir-316, Mir-929, Mir-932, Mir-965, Mir-989"
